AthleteName,AthleteFirstName,AthleteLastName,Date,RaceEventDistance,RaceEventSwimmingStyleName,PhaseName,RaceEventIsRelay,RaceEventIsMixed,RaceEventName,PoolLength,RaceId,PhaseNumber,Lane,RelayLeg,FinishingPosition,RaceEventId,RaceEventSwimmingStyleId,AthleteId,AthleteGenderId,AthleteGenderName,AthleteNationId,AthleteNationCode,AthleteNationName,CompetitionId,CompetitionName,PhaseId,SessionId,SessionCode,AnalysisLevelId,AnalysisLevelName,RaceTime,Split_0_50_m,Split_50_100_m,StartBlockElapsedTime,StartBreakoutDistance,StartBreakoutTime,Lap1_15mElapsedTime,StartKicks,Turn_5mIn_s,Turn1RotateTime,Turn1_15m_s,Turn1BreakoutDistance,Turn1BreakoutTime,Turn1_Total_s,Last5m_s,SR_15_25m_T,SR_15_25m_SR,SR_15_25m_DPS,SR_15_25m_V,SR_15_25m_N,SR_25_50m_T,SR_25_50m_SR,SR_25_50m_DPS,SR_25_50m_V,SR_25_50m_N,SR_65_75m_T,SR_65_75m_SR,SR_65_75m_DPS,SR_65_75m_V,SR_65_75m_N,SR_75_100m_T,SR_75_100m_SR,SR_75_100m_DPS,SR_75_100m_V,SR_75_100m_N
Fearn,Fearn,,08/07/2026,4 x 100,Freestyle Mixed Relay,Heat,True,True,4 x 100 m Freestyle Mixed Relay,50,,,,,,,,,,,,,,,,,,,,,50.16,24.07,26.09,0.65,13.4,5.06,5.7,,2.77,1.19,7.05,,4.45,9.82,2.44,5.18,49.9,2.32,1.93,,13.19,48.1,2.4,1.92,29.0,5.4,47.8,2.32,1.85,,13.64,50.4,2.13,1.79,35.0
Fearn,Fearn,,07/07/2026,4 x 100,Freestyle Relay,Final,True,False,4 x 100 m Freestyle Relay,50,,,,,,,,,,,,,,,,,,,,,49.27,23.24,26.03,,,,,,,,,,,,,,53.0,,,,,48.0,,,29.0,,46.6,,,,,49.8,,,35.0
Fearn,Fearn,,07/07/2026,4 x 100,Freestyle Relay,Heat,True,False,4 x 100 m Freestyle Relay,50,,,,,,,,,,,,,,,,,,,,,50.24,23.86,26.38,,,,,,,,,,,,,,53.9,,,,,50.7,,,30.0,,47.9,,,,,47.7,,,35.0
Grieve,Grieve,,28/06/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.37,28.03,31.34,,,,,,,,,,,,,,57.7,,,,,57.0,,,21.0,,57.5,,,,,58.4,,,25.0
Grieve,Grieve,,28/06/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,58.64,27.94,30.7,0.7,13.3,-2.84,6.74,,2.98,0.56,8.44,10.2,-2.88,11.42,3.14,6.06,58.4,1.7,1.65,,15.14,58.5,1.68,1.64,21.0,6.34,58.4,1.62,1.58,,15.92,59.5,1.57,1.56,25.0
Davis,Davis,,28/06/2026,200,Freestyle,Final,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,122.4,28.65,30.4,0.72,12.3,5.18,6.98,,3.31,1.41,8.19,6.3,2.85,11.5,3.04,5.94,44.0,2.29,1.68,,15.73,40.1,2.41,1.61,31.0,6.28,42.1,2.27,1.59,,15.93,40.8,2.34,1.59,36.0
Shanahan,Shanahan,,28/06/2026,200,Backstroke,Heat,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,134.85,31.9,34.15,,,,,,,,,,,,,,37.8,,,,,34.0,,,28.0,,32.9,,,,,32.3,,,30.0
Davis,Davis,,28/06/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,124.16,29.0,30.95,,,,,,,,,,,,,,44.3,,,,,40.6,,,30.0,,41.2,,,,,39.2,,,35.0
MacInnes,MacInnes,,28/06/2026,100,Butterfly,Final,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.03,27.56,31.47,0.66,12.7,5.36,6.62,,2.9,0.62,9.22,7.6,4.62,12.12,3.03,5.94,63.8,1.58,1.68,,15.0,62.9,1.57,1.65,23.0,6.4,60.9,1.54,1.56,,15.85,60.9,1.54,1.56,27.0
McGill,McGill,,28/06/2026,200,Backstroke,Final,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,131.18,31.4,32.52,0.66,12.2,6.22,8.1,,3.4,1.34,8.76,7.7,3.78,12.16,3.58,6.58,42.7,2.14,1.52,,16.72,41.5,2.17,1.5,34.0,6.7,41.1,2.18,1.49,,17.06,41.1,2.16,1.48,38.0
McGill,McGill,,28/06/2026,200,Backstroke,Heat,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,133.55,33.13,35.07,,,,,,,,,,,,,,39.1,,,,,36.9,,,33.0,,34.7,,,,,32.9,,,34.0
MacInnes,MacInnes,,28/06/2026,100,Butterfly,Heat,False,False,100 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,59.26,27.85,31.41,,,,,,,,,,,,,,62.0,,,,,60.0,,,23.0,,59.9,,,,,59.5,,,26.0
Shanahan,Shanahan,,28/06/2026,200,Backstroke,Final,False,False,200 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,128.85,30.82,32.3,0.74,14.0,7.04,7.64,,3.58,1.44,8.44,10.1,5.28,12.02,3.29,6.36,40.2,2.34,1.57,,16.82,37.5,2.42,1.51,29.0,6.66,38.8,2.32,1.5,,17.2,36.5,2.45,1.49,32.0
McGill,McGill,,27/06/2026,100,Backstroke,Final,False,False,100 m Backstroke,50,,,,,,,,,,,,,,,,,,,,,62.71,30.92,31.79,0.66,11.7,6.56,8.16,,3.38,1.38,8.62,8.7,4.52,12.0,3.25,6.4,45.1,2.08,1.56,,16.36,45.4,2.04,1.54,35.0,6.54,45.9,2.0,1.53,,16.63,49.3,1.81,1.49,42.0
Smith,Smith,,27/06/2026,200,Breaststroke,Heat,False,False,200 m Breaststroke,50,,,,,,,,,,,,,,,,,,,,,134.42,30.94,33.65,,,,,,,,,,,,,,34.5,,,,,32.7,,,13.0,,33.6,,,,,34.3,,,15.0
Grieve,Grieve,,27/06/2026,50,Butterfly,Heat,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,27.34,,,,,,,,,,,,,,,,61.8,,,,,62.5,,,,,,,,,,,,,
Grieve,Grieve,,27/06/2026,50,Butterfly,Final,False,False,50 m Butterfly,50,,,,,,,,,,,,,,,,,,,,,26.93,6.62,5.74,0.68,13.4,5.66,6.62,,,,,,,,2.85,,,,,,5.74,64.9,1.61,1.74,,,,,,,,,,,
Scott,Scott,,27/06/2026,200,Freestyle,Heat,False,False,200 m Freestyle,50,,,,,,,,,,,,,,,,,,,,,110.21000000000001,25.43,27.89,,,,,,,,,,,,,,44.5,,,,,40.6,,,28.0,,40.3,,,,,38.7,,,30.0
